ssl_score,age_curr,idoc_res_zip_code,sex_code_cd,race_code_cd,majority_dist,latest_dist_res
365,less than 20,De-identified,M,BLK,31,31
362,less than 20,De-identified,M,BLK,De-identified,5
362,less than 20,De-identified,M,BLK,22,31
386,less than 20,De-identified,M,WWH,De-identified,31
361,20-30,De-identified,M,BLK,6,31
361,less than 20,De-identified,M,WHI,De-identified,31
361,less than 20,De-identified,F,BLK,De-identified,31
361,less than 20,De-identified,M,BLK,De-identified,31
397,20-30,De-identified,M,WWH,25,16
366,less than 20,De-identified,M,WHI,9,31
368,less than 20,De-identified,M,WHI,De-identified,31
363,less than 20,De-identified,M,WWH,De-identified,31
366,less than 20,De-identified,F,BLK,De-identified,31
361,less than 20,De-identified,M,WHI,De-identified,31
379,20-30,De-identified,F,BLK,11,11
391,20-30,De-identified,M,BLK,15,15
378,less than 20,De-identified,M,BLK,De-identified,25
378,less than 20,De-identified,M,BLK,6,6
372,20-30,De-identified,M,BLK,3,2
388,20-30,De-identified,M,BLK,De-identified,31
361,less than 20,De-identified,M,BLK,De-identified,31
361,less than 20,De-identified,M,BLK,De-identified,31
370,less than 20,De-identified,M,WWH,De-identified,31
365,less than 20,De-identified,M,BLK,15,31
378,20-30,De-identified,M,BLK,De-identified,31
388,less than 20,De-identified,M,WWH,De-identified,31
371,less than 20,De-identified,M,WWH,De-identified,31
367,less than 20,De-identified,M,WWH,De-identified,31
445,less than 20,De-identified,M,BLK,15,31
405,20-30,De-identified,M,WHI,6,7
369,less than 20,De-identified,F,WHI,De-identified,31
365,less than 20,De-identified,M,BLK,De-identified,31
392,less than 20,De-identified,M,BLK,De-identified,31
374,less than 20,De-identified,M,WWH,De-identified,31
361,less than 20,De-identified,M,WHI,De-identified,31
363,less than 20,De-identified,M,WHI,De-identified,31
413,20-30,De-identified,M,BLK,2,31
382,20-30,De-identified,M,WWH,8,8
364,20-30,De-identified,M,WWH,4,31
363,less than 20,De-identified,F,BLK,De-identified,31
379,less than 20,De-identified,M,WWH,De-identified,31
380,less than 20,De-identified,F,BLK,De-identified,31
361,less than 20,De-identified,M,WHI,De-identified,31
387,20-30,De-identified,F,BLK,25,11
372,20-30,De-identified,M,BLK,1,31
361,less than 20,De-identified,M,BLK,5,31
370,less than 20,De-identified,F,BLK,De-identified,31
367,less than 20,De-identified,M,WWH,De-identified,31
353,20-30,De-identified,M,BLK,24,4
353,less than 20,De-identified,M,WWH,De-identified,31
354,20-30,De-identified,M,WHI,De-identified,31
357,20-30,De-identified,M,BLK,De-identified,31
351,20-30,De-identified,M,WWH,De-identified,31
355,20-30,De-identified,M,BLK,5,31
350,less than 20,De-identified,M,WWH,De-identified,31
358,20-30,De-identified,M,WWH,De-identified,8
357,less than 20,De-identified,M,WWH,8,31
355,less than 20,De-identified,M,BLK,De-identified,31
358,20-30,De-identified,F,WWH,De-identified,16
351,less than 20,De-identified,M,BLK,De-identified,31
353,less than 20,De-identified,M,BLK,De-identified,31
356,20-30,De-identified,M,BLK,De-identified,31
353,less than 20,De-identified,M,BLK,De-identified,31
354,20-30,De-identified,M,BLK,De-identified,4
350,20-30,De-identified,M,WWH,10,31
351,less than 20,De-identified,M,BLK,3,31
358,less than 20,De-identified,M,WWH,De-identified,31
353,20-30,De-identified,F,WHI,De-identified,31
